DATE,Q_slz
01/01/2004 00:00,3050
01/01/2004 01:00,3010
01/01/2004 02:00,2980
01/01/2004 03:00,2940
01/01/2004 04:00,2910
01/01/2004 05:00,2890
01/01/2004 06:00,2870
01/01/2004 07:00,2860
01/01/2004 08:00,2850
01/01/2004 09:00,2850
01/01/2004 10:00,2840
01/01/2004 11:00,2840
01/01/2004 12:00,2840
01/01/2004 13:00,2840
01/01/2004 14:00,2840
01/01/2004 15:00,2840
01/01/2004 16:00,2850
01/01/2004 17:00,2850
01/01/2004 18:00,2850
01/01/2004 19:00,2850
01/01/2004 20:00,2850
01/01/2004 21:00,2860
01/01/2004 22:00,2840
01/01/2004 23:00,2820
01/02/2004 00:00,2820
01/02/2004 01:00,2810
01/02/2004 02:00,2810
01/02/2004 03:00,2810
01/02/2004 04:00,2810
01/02/2004 05:00,2800
01/02/2004 06:00,2790
01/02/2004 07:00,2790
01/02/2004 08:00,2770
01/02/2004 09:00,2750
01/02/2004 10:00,2740
01/02/2004 11:00,2710
01/02/2004 12:00,2700
01/02/2004 13:00,2700
01/02/2004 14:00,2690
01/02/2004 15:00,2690
01/02/2004 16:00,2690
01/02/2004 17:00,2680
01/02/2004 18:00,2670
01/02/2004 19:00,2670
01/02/2004 20:00,2660
01/02/2004 21:00,2640
01/02/2004 22:00,2630
01/02/2004 23:00,2610
01/03/2004 00:00,2590
01/03/2004 01:00,2580
01/03/2004 02:00,2560
01/03/2004 03:00,2560
01/03/2004 04:00,2550
01/03/2004 05:00,2530
01/03/2004 06:00,2510
01/03/2004 07:00,2500
01/03/2004 08:00,2490
01/03/2004 09:00,2480
01/03/2004 10:00,2470
01/03/2004 11:00,2470
01/03/2004 12:00,2460
01/03/2004 13:00,2460
01/03/2004 14:00,2460
01/03/2004 15:00,2470
01/03/2004 16:00,2480
01/03/2004 17:00,2480
01/03/2004 18:00,2480
01/03/2004 19:00,2470
01/03/2004 20:00,2470
01/03/2004 21:00,2450
01/03/2004 22:00,2440
01/03/2004 23:00,2420
01/04/2004 00:00,2420
01/04/2004 01:00,2410
01/04/2004 02:00,2400
01/04/2004 03:00,2390
01/04/2004 04:00,2390
01/04/2004 05:00,2380
01/04/2004 06:00,2380
01/04/2004 07:00,2370
01/04/2004 08:00,2360
01/04/2004 09:00,2340
01/04/2004 10:00,2330
01/04/2004 11:00,2300
01/04/2004 12:00,2290
01/04/2004 13:00,2270
01/04/2004 14:00,2260
01/04/2004 15:00,2250
01/04/2004 16:00,2240
01/04/2004 17:00,2230
01/04/2004 18:00,2220
01/04/2004 19:00,2200
01/04/2004 20:00,2190
01/04/2004 21:00,2180
01/04/2004 22:00,2170
01/04/2004 23:00,2150
01/05/2004 00:00,2130
01/05/2004 01:00,2120
01/05/2004 02:00,2110
01/05/2004 03:00,2100
01/05/2004 04:00,2080
01/05/2004 05:00,2070
01/05/2004 06:00,2060
01/05/2004 07:00,2050
01/05/2004 08:00,2030
01/05/2004 09:00,2020
01/05/2004 10:00,2010
01/05/2004 11:00,1990
01/05/2004 12:00,1980
01/05/2004 13:00,1970
01/05/2004 14:00,1960
01/05/2004 15:00,1950
01/05/2004 16:00,1940
01/05/2004 17:00,1930
01/05/2004 18:00,1920
01/05/2004 19:00,1910
01/05/2004 20:00,1890
01/05/2004 21:00,1880
01/05/2004 22:00,1880
01/05/2004 23:00,1870
01/06/2004 00:00,1860
01/06/2004 01:00,1860
01/06/2004 02:00,1850
01/06/2004 03:00,1850
01/06/2004 04:00,1840
01/06/2004 05:00,1830
01/06/2004 06:00,1830
01/06/2004 07:00,1830
01/06/2004 08:00,1830
01/06/2004 09:00,1830
01/06/2004 10:00,1830
01/06/2004 11:00,1830
01/06/2004 12:00,1830
01/06/2004 13:00,1840
01/06/2004 14:00,1870
01/06/2004 15:00,1900
01/06/2004 16:00,1950
01/06/2004 17:00,2000
01/06/2004 18:00,2050
01/06/2004 19:00,2110
01/06/2004 20:00,2170
01/06/2004 21:00,2220
01/06/2004 22:00,2280
01/06/2004 23:00,2330
01/07/2004 00:00,2370
01/07/2004 01:00,2400
01/07/2004 02:00,2440
01/07/2004 03:00,2480
01/07/2004 04:00,2510
01/07/2004 05:00,2550
01/07/2004 06:00,2580
